period,sector,weight_ew,weight_ew_prev,d_qoq,weight_ew_4q,d_yoy,avg_trailing,d_vs_avg,hist_percentile,hist_min,hist_max,weight_bench,active_weight,active_weight_prev,d_active_qoq,overweight_breadth,n_active_managers,n_index_managers,benchmark_name,net_flow,gross_flow,price_effect,n_buyers,n_sellers
2012-12-31,Consumer Staples,0.08661403769192134,0.08948799332987863,-0.0028739556379572817,0.10463296410465318,-0.01801892641273184,0.0989055433559551,-0.012291505664033753,0.16666666666666666,0.08661403769192134,0.1152949946693621,0.07139287441588929,0.015221163276032054,0.026142678192972266,-0.010921514916940211,0.37209302325581395,43,3,"Índice implícito (managers índice, ponderado por valor)",6758023672.377482,11435228295.271452,49269327.622517526,48,33
2012-12-31,Energy,0.08213095828211742,0.08226385172892282,-0.00013289344680540716,0.08498374345118218,-0.0028527851690647588,0.0815590642312977,0.0005718940508197129,0.6666666666666666,0.07825931712580565,0.08498374345118218,0.08311125371644462,-0.0009802954343272052,-0.004924326252587707,0.003944030818260502,0.13953488372093023,43,3,"Índice implícito (managers índice, ponderado por valor)",6857451362.890816,10921434086.057182,-1537070362.890816,42,33
2012-12-31,Financials,0.1966101128680169,0.20157822862578634,-0.004968115757769426,0.19309534377062607,0.0035147690973908463,0.19181780999429093,0.004792302873725979,0.8333333333333334,0.17987727905775533,0.20157822862578634,0.16213958807839476,0.03447052478962215,0.03644407507398889,-0.001973550284366743,0.6744186046511628,43,3,"Índice implícito (managers índice, ponderado por valor)",3058037794.6118593,17272986244.489033,1116849205.3881404,102,94
2012-12-31,Health Care,0.12701443118840847,0.12362401173992427,0.0033904194484842,0.13366066419136305,-0.006646233002954582,0.1309397717507632,-0.0039253405623547455,0.3333333333333333,0.12362401173992427,0.1367195180022354,0.11691089626016808,0.010103534928240385,0.0043292313759484,0.0057743035522919844,0.4186046511627907,43,3,"Índice implícito (managers índice, ponderado por valor)",9575159723.451593,19724725649.566925,-615911723.4515934,76,64
2012-12-31,Industrials,0.09106412216845099,0.08567244933184827,0.005391672836602718,0.08713970353674617,0.003924418631704812,0.08614652201820475,0.00491760015024624,1.0,0.08462403337590017,0.09106412216845099,0.10014381653322059,-0.009079694364769603,-0.0111461297248579,0.002066435360088298,0.20930232558139536,43,3,"Índice implícito (managers índice, ponderado por valor)",-875761055.6278813,5664421594.337756,5080317055.627881,37,46
2012-12-31,Information Technology,0.1257151822804143,0.12375057951286651,0.001964602767547799,0.10554809593472449,0.020167086345689825,0.11420392379819781,0.0115112584822165,1.0,0.09948181123838598,0.1257151822804143,0.15059037437703868,-0.024875192096624366,-0.021804485763325374,-0.003070706333298992,0.37209302325581395,43,3,"Índice implícito (managers índice, ponderado por valor)",-462411160.5987296,10687083442.795862,7762304160.59873,73,76
2012-12-31,Materials,0.05216549208173108,0.05551789919315644,-0.0033524071114253567,0.05918297866201655,-0.007017486580285469,0.05720602990433021,-0.005040537822599132,0.16666666666666666,0.05216549208173108,0.06195264355819085,0.05367325579602188,-0.0015077637142908024,0.002484362986278091,-0.003992126700568893,0.2558139534883721,43,3,"Índice implícito (managers índice, ponderado por valor)",-645364568.5373755,2794992129.514444,1251524568.5373755,21,20
2012-12-31,Real Estate,0.02576070811509238,0.02389051710619383,0.0018701910088985488,0.02347701690350782,0.00228369121158456,0.024863451299537678,0.0008972568155547027,0.8333333333333334,0.02347701690350782,0.027174856855625856,0.028106997443169957,-0.002346289328077577,-0.005745764749627513,0.0033994754215499363,0.3488372093023256,43,3,"Índice implícito (managers índice, ponderado por valor)",2199919618.7914777,3131458441.2213864,177861381.2085222,20,9
2012-12-31,Utilities,0.009693109976797702,0.009717218339842536,-2.4108363044833894e-05,0.00822176574034595,0.0014713442364517517,0.009152965794369111,0.0005401441824285907,0.6666666666666666,0.00822176574034595,0.010327466088072093,0.017866018347920842,-0.00817290837112314,-0.0076034630206124575,-0.000569445350510683,0.20930232558139536,43,3,"Índice implícito (managers índice, ponderado por valor)",-11595364.936213672,1266279493.1152673,98581364.93621369,6,12
2013-03-31,Communication Services,0.057044377070780874,0.06386235357441375,-0.006817976503632875,0.05705461675347149,-1.0239682690614538e-05,0.05750568295370743,-0.00046130588292655345,0.42857142857142855,0.04955093215302272,0.06386235357441375,0.063515110687815,-0.0064707336170341245,-0.006238743330227184,-0.00023199028680694067,0.3409090909090909,44,3,"Índice implícito (managers índice, ponderado por valor)",374923549.6235175,5040763242.322857,3954990450.3764825,31,33
