period,sector,manager_type,value_usd,share,share_prev,d_share,value_prev,d_value
2022-09-30,Materials,Hedge Fund - Value,16457000.0,0.011653844628623547,0.013291803090042928,-0.0016379584614193803,17095000.0,-638000.0
2022-09-30,Real Estate,Asset Manager - Index/Active,51876729000.0,0.0176435984127535,0.018586898067972583,-0.000943299655219082,57942046000.0,-6065317000.0
2022-09-30,Unclassified,Asset Manager - Index/Active,897831519000.0,0.305358087699563,0.30572973539231807,-0.0003716476927550505,953069540000.0,-55238021000.0
2022-09-30,Unclassified,Hedge Fund - Activist,788084000.0,0.6746012316152238,0.5103529454499538,0.16424828616526999,590091000.0,197993000.0
2022-09-30,Unclassified,Hedge Fund - Value,870721000.0,0.6165915567162742,0.5730870339024563,0.04350452281381789,737065000.0,133656000.0
2022-09-30,Utilities,Asset Manager - Index/Active,31519513000.0,0.01071998254819735,0.010599120005866939,0.00012086254233041084,33041269000.0,-1521756000.0
2022-12-31,Communication Services,Asset Manager - Index/Active,166020043264.0,0.05201834009694693,0.056855066689873474,-0.004836726592926541,167168557000.0,-1148513736.0
2022-12-31,Consumer Discretionary,Asset Manager - Index/Active,207667428803.0,0.06506753477563633,0.07791398663599867,-0.012846451860362346,229087212000.0,-21419783197.0
2022-12-31,Consumer Discretionary,Hedge Fund - Contrarian Value,14412250.0,0.3096949357956075,,,,
2022-12-31,Consumer Discretionary,Hedge Fund - Value,91952.0,6.366353625016515e-05,0.0017823860320985276,-0.0017187224958483624,2517000.0,-2425048.0
2022-12-31,Consumer Staples,Asset Manager - Index/Active,148957888032.0,0.04667232899975832,0.044729583947563045,0.0019427450521952716,131516511000.0,17441377032.0
2022-12-31,Consumer Staples,Hedge Fund - Activist,234453376.0,0.19147149658612053,0.1724055872941958,0.019065909291924726,201408000.0,33045376.0
2022-12-31,ETF - Broad Equity,Asset Manager - Index/Active,87533912867.0,0.027426621268201317,0.029096625509749296,-0.0016700042415479788,85551582000.0,1982330867.0
2022-12-31,ETF - Broad Equity,Hedge Fund - Activist,44527472.0,0.03636433754332707,0.04663925178604752,-0.010274914242720451,54485000.0,-9957528.0
2022-12-31,ETF - Commodity,Asset Manager - Index/Active,683172164.0,0.00021405537110485263,0.00025490213253795684,-4.084676143310421e-05,749478000.0,-66305836.0
2022-12-31,ETF - Commodity,Hedge Fund - Value,69105235.0,0.04784543711391467,0.04668477614307808,0.0011606609708365856,65926000.0,3179235.0
2022-12-31,ETF - Fixed Income,Asset Manager - Index/Active,9923185191.0,0.003109188577246661,0.00339289118779383,-0.00028370261054716864,9975975000.0,-52789809.0
2022-12-31,ETF - International Equity,Asset Manager - Index/Active,13201548328.0,0.00413638388010886,0.004311458920287592,-0.00017507504017873123,12676801000.0,524747328.0
2022-12-31,ETF - Sector,Asset Manager - Index/Active,1589568315.0,0.0004980525458936003,0.0004939736807744242,4.078865119176082e-06,1452410000.0,137158315.0
2022-12-31,ETF - Thematic,Asset Manager - Index/Active,70.0,2.1932796397336356e-11,0.0,2.1932796397336356e-11,0.0,70.0
2022-12-31,Energy,Asset Manager - Index/Active,159880020705.0,0.05009451345892409,0.04574105577641232,0.004353457682511774,134490499000.0,25389521705.0
2022-12-31,Energy,Hedge Fund - Value,290973857.0,0.20145755060216058,0.16236354160175392,0.03909400900040666,229282000.0,61691857.0
2022-12-31,Financials,Asset Manager - Index/Active,341345493537.0,0.10695230301279021,0.1026512230756332,0.004301079937157018,301821066000.0,39524427537.0
2022-12-31,Financials,Hedge Fund - Value,220261843.0,0.152499650103953,0.1301757884420374,0.022323861661915606,183828000.0,36433843.0
2022-12-31,Health Care,Asset Manager - Index/Active,372158277726.0,0.11660673904211023,0.11155610904215708,0.005050629999953149,328003727000.0,44154550726.0
2022-12-31,Health Care,Hedge Fund - Activist,23150178.0,0.01890610109148133,0.10171183216888571,-0.08280573107740438,118822000.0,-95671822.0
2022-12-31,Health Care,Hedge Fund - Value,36318223.0,0.02514514645143207,0.017699935984228327,0.007445210467203742,24995000.0,11323223.0
2022-12-31,Industrials,Asset Manager - Index/Active,96346435432.0,0.030187810741988137,0.026582970810282994,0.003604839931705142,78160789000.0,18185646432.0
2022-12-31,Information Technology,Asset Manager - Index/Active,465935170590.0,0.1459894461558379,0.15144372821871527,-0.005454282062877375,445283613000.0,20651557590.0
2022-12-31,Materials,Asset Manager - Index/Active,38250385351.0,0.011984827343187718,0.01125475571170694,0.0007300716314807779,33091884000.0,5158501351.0
2022-12-31,Materials,Hedge Fund - Value,23769258.0,0.016456792873700714,0.011653844628623547,0.0048029482450771665,16457000.0,7312258.0
2022-12-31,Real Estate,Asset Manager - Index/Active,55072864595.0,0.017255741802574415,0.0176435984127535,-0.00038785661017908674,51876729000.0,3196135595.0
2022-12-31,Unclassified,Asset Manager - Index/Active,991745845879.0,0.3107394245081176,0.305358087699563,0.005381336808554571,897831519000.0,93914326879.0
2022-12-31,Unclassified,Hedge Fund - Activist,922350843.0,0.7532580647790711,0.6746012316152238,0.0786568331638473,788084000.0,134266843.0
2022-12-31,Unclassified,Hedge Fund - Contrarian Value,32124675.0,0.6903050642043925,,,,
2022-12-31,Unclassified,Hedge Fund - Value,803822900.0,0.5565317593185888,0.6165915567162742,-0.06005979739768541,870721000.0,-66898100.0
2022-12-31,Utilities,Asset Manager - Index/Active,35256251589.0,0.01104668839764005,0.01071998254819735,0.00032670584944270026,31519513000.0,3736738589.0
2023-03-31,Communication Services,Asset Manager - Index,236819516738.0,0.06029777034125765,,,,
2023-03-31,Communication Services,Asset Manager - Index/Active,199725989366.0,0.05891305926680322,0.05201834009694693,0.006894719169856289,166020043264.0,33705946102.0
2023-03-31,Communication Services,Hedge Fund - Contrarian Value,7384000.0,0.06905089636461058,,,,
2023-03-31,Consumer Discretionary,Asset Manager - Index,291370936857.0,0.07418737305404419,,,,
2023-03-31,Consumer Discretionary,Asset Manager - Index/Active,243006441954.0,0.07167946926935129,0.06506753477563633,0.006611934493714958,207667428803.0,35339013151.0
2023-03-31,Consumer Discretionary,Hedge Fund - Contrarian Value,21190500.0,0.1981612973204605,0.3096949357956075,-0.11153363847514697,14412250.0,6778250.0
2023-03-31,Consumer Staples,Asset Manager - Index,187078705682.0,0.04763302022709902,,,,
2023-03-31,Consumer Staples,Asset Manager - Index/Active,149963254620.0,0.04423457425503552,0.04667232899975832,-0.0024377547447227976,148957888032.0,1005366588.0
2023-03-31,Consumer Staples,Hedge Fund - Activist,239438715.0,0.18121843169179472,0.19147149658612053,-0.010253064894325814,234453376.0,4985339.0
2023-03-31,ETF - Broad Equity,Asset Manager - Index,17916735630.0,0.004561867303690082,,,,
